slug,outscraper_query,place_id,full_url
a-pa-chai,"https://www.google.com/maps/place/M%E1%BB%91c+gi%E1%BB%9Bi+s%E1%BB%91+0+-+%C4%90i%E1%BB%83m+C%E1%BB%B1c+T%C3%A2y+T%E1%BB%95+Qu%E1%BB%91c/@22.40107,102.0750409,12883m/data=!3m1!1e3!4m6!3m5!1s0x36d35975b87bbbc7:0x7c4b6e0048815089!8m2!3d22.4010759!4d102.1444339!16s%2Fg%2F11c51rfk4p?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=526cc9c2-a64a-4108-ba9e-12e6f57c079f",,"https://www.google.com/maps/place/M%E1%BB%91c+gi%E1%BB%9Bi+s%E1%BB%91+0+-+%C4%90i%E1%BB%83m+C%E1%BB%B1c+T%C3%A2y+T%E1%BB%95+Qu%E1%BB%91c/@22.40107,102.0750409,12883m/data=!3m1!1e3!4m6!3m5!1s0x36d35975b87bbbc7:0x7c4b6e0048815089!8m2!3d22.4010759!4d102.1444339!16s%2Fg%2F11c51rfk4p?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=526cc9c2-a64a-4108-ba9e-12e6f57c079f"
am-tien-cave,"https://www.google.com/maps/place/%C4%90%E1%BB%99ng+Am+Ti%C3%AAn/@20.2827534,105.904917,2338m/data=!3m1!1e3!4m6!3m5!1s0x31367972ba70cd55:0xa97747eee720f22a!8m2!3d20.2827083!4d105.9122146!16s%2Fg%2F122l3kb9?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=fc914994-ca54-452f-a004-f6a909cfb322",,"https://www.google.com/maps/place/%C4%90%E1%BB%99ng+Am+Ti%C3%AAn/@20.2827534,105.904917,2338m/data=!3m1!1e3!4m6!3m5!1s0x31367972ba70cd55:0xa97747eee720f22a!8m2!3d20.2827083!4d105.9122146!16s%2Fg%2F122l3kb9?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=fc914994-ca54-452f-a004-f6a909cfb322"
an-bang-beach,"https://www.google.com/maps/place/An+Bang+Beach/@15.9136072,108.338074,838m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31420df96d5396ab:0xed0d9e973a32b1ef!8m2!3d15.9136072!4d108.3406489!16s%2Fg%2F1pp2vlmtm?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=bd9e6f63-fbb8-425d-a633-5764ccc4b5b2",,"https://www.google.com/maps/place/An+Bang+Beach/@15.9136072,108.338074,838m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31420df96d5396ab:0xed0d9e973a32b1ef!8m2!3d15.9136072!4d108.3406489!16s%2Fg%2F1pp2vlmtm?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=bd9e6f63-fbb8-425d-a633-5764ccc4b5b2"
an-binh-island,"https://www.google.com/maps/place/C%E1%BA%A7u+t%C3%A0u+%C4%90%E1%BA%A3o+B%C3%A9+-+An+B%C3%ACnh/@15.4292679,109.0802809,2760m/data=!3m1!1e3!4m6!3m5!1s0x31683b92b5d0235d:0x79072a30fac9fda4!8m2!3d15.4257112!4d109.0795834!16s%2Fg%2F12hnc0gwj?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=7a252548-d12d-40e9-8ecf-7ddde04d6e66",,"https://www.google.com/maps/place/C%E1%BA%A7u+t%C3%A0u+%C4%90%E1%BA%A3o+B%C3%A9+-+An+B%C3%ACnh/@15.4292679,109.0802809,2760m/data=!3m1!1e3!4m6!3m5!1s0x31683b92b5d0235d:0x79072a30fac9fda4!8m2!3d15.4257112!4d109.0795834!16s%2Fg%2F12hnc0gwj?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=7a252548-d12d-40e9-8ecf-7ddde04d6e66"
an-hai-communal-house,"https://www.google.com/maps/place/%C4%90%C3%ACnh+An+H%E1%BA%A3i/@15.3749357,109.1242009,840m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31683f006506a7e9:0xdd0a10e6201da5df!8m2!3d15.3749358!4d109.1290718!16s%2Fg%2F11y6m9kl4x?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=68f72eea-9e5f-41ae-b02f-d415b1379919",,"https://www.google.com/maps/place/%C4%90%C3%ACnh+An+H%E1%BA%A3i/@15.3749357,109.1242009,840m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31683f006506a7e9:0xdd0a10e6201da5df!8m2!3d15.3749358!4d109.1290718!16s%2Fg%2F11y6m9kl4x?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=68f72eea-9e5f-41ae-b02f-d415b1379919"
an-vinh-communal-house,"https://www.google.com/maps/place/An+Vinh+Dinh+Lang/@15.3761206,109.0976192,840m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31683ec975672dd1:0x33b525c42e79513d!8m2!3d15.3761206!4d109.1001941!16s%2Fg%2F11c6qqy2f7?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=867b81eb-ee5d-47d8-8d23-df627f8fce79",,"https://www.google.com/maps/place/An+Vinh+Dinh+Lang/@15.3761206,109.0976192,840m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31683ec975672dd1:0x33b525c42e79513d!8m2!3d15.3761206!4d109.1001941!16s%2Fg%2F11c6qqy2f7?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=867b81eb-ee5d-47d8-8d23-df627f8fce79"
angel-eye-mountain,"https://www.google.com/maps/place/God%E2%80%99s+Eye+Mountain/@22.7742101,106.3150863,803m/data=!3m2!1e3!4b1!4m6!3m5!1s0x36ca6f0faa0d200f:0x3352673ae4c84f60!8m2!3d22.7742101!4d106.3176612!16s%2Fg%2F11jc18kcqd?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=293e4d7f-313e-4f67-85e2-0f55a62b723f",,"https://www.google.com/maps/place/God%E2%80%99s+Eye+Mountain/@22.7742101,106.3150863,803m/data=!3m2!1e3!4b1!4m6!3m5!1s0x36ca6f0faa0d200f:0x3352673ae4c84f60!8m2!3d22.7742101!4d106.3176612!16s%2Fg%2F11jc18kcqd?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=293e4d7f-313e-4f67-85e2-0f55a62b723f"
ba-danh-pagoda,"https://www.google.com/maps/place/Chu%CC%80a+Ba%CC%80+%C4%90anh/@20.5692502,105.8479785,815m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3135cd00798a5751:0x7e96b9b5dd605303!8m2!3d20.5692503!4d105.8528494!16s%2Fg%2F11xv1bnzq6?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=92496379-3eb5-4997-a521-bcffd4e015b0",,"https://www.google.com/maps/place/Chu%CC%80a+Ba%CC%80+%C4%90anh/@20.5692502,105.8479785,815m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3135cd00798a5751:0x7e96b9b5dd605303!8m2!3d20.5692503!4d105.8528494!16s%2Fg%2F11xv1bnzq6?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=92496379-3eb5-4997-a521-bcffd4e015b0"
ba-den-mountain,"https://www.google.com/maps/place/N%C3%BAi+b%C3%A0+%C4%91en+T%C3%A2y+Ninh/@11.3952753,106.176032,13802m/data=!3m1!1e3!4m6!3m5!1s0x310b430053098395:0x6ff552ed68f7b7d4!8m2!3d11.3749!4d106.178604!16s%2Fg%2F11yc3r2lyl?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=9a02f919-2f66-49fe-8d93-7255733a1e0f",,"https://www.google.com/maps/place/N%C3%BAi+b%C3%A0+%C4%91en+T%C3%A2y+Ninh/@11.3952753,106.176032,13802m/data=!3m1!1e3!4m6!3m5!1s0x310b430053098395:0x6ff552ed68f7b7d4!8m2!3d11.3749!4d106.178604!16s%2Fg%2F11yc3r2lyl?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=9a02f919-2f66-49fe-8d93-7255733a1e0f"
ba-ho-waterfall,"https://www.google.com/maps/place/Khu+du+l%E1%BB%8Bch+Ba+H%E1%BB%93/@12.3898876,109.136819,213m/data=!3m1!1e3!4m10!3m9!1s0x31704178566ab31f:0x64346e76fa3382db!5m2!4m1!1i2!8m2!3d12.3898019!4d109.1378798!15sChFCYSBI4buTIFdhdGVyZmFsbFoTIhFiYSBo4buTIHdhdGVyZmFsbJIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNM01uTlVYelZCUlJBQuABAPoBBAgfEEE!16s%2Fg%2F1hhx37yc1?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=96828b77-2ada-4326-84e9-b2292a521810",,"https://www.google.com/maps/place/Khu+du+l%E1%BB%8Bch+Ba+H%E1%BB%93/@12.3898876,109.136819,213m/data=!3m1!1e3!4m10!3m9!1s0x31704178566ab31f:0x64346e76fa3382db!5m2!4m1!1i2!8m2!3d12.3898019!4d109.1378798!15sChFCYSBI4buTIFdhdGVyZmFsbFoTIhFiYSBo4buTIHdhdGVyZmFsbJIBEnRvdXJpc3RfYXR0cmFjdGlvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNM01uTlVYelZCUlJBQuABAPoBBAgfEEE!16s%2Fg%2F1hhx37yc1?entry=tts&g_ep=EgoyMDI2MDQwMS4wIPu8ASoASAFQAw%3D%3D&skid=96828b77-2ada-4326-84e9-b2292a521810"
